"choiceColorCombos"
""
"-,A"
"-,A/BK"
"-,A/BU"
"-,A/G"
"-,A/O"
"-,A/P"
"-,A/PK"
"-,A/R"
"-,A/W"
"-,A/Y"
"-,BK/A"
"-,BU/A"
"-,G/A"
"-,O/A"
"-,P/A"
"-,PK/A"
"-,R/A"
"-,W/A"
"-,Y/A"
"A,-"
"A,BK"
"A,BK/BK"
"A,BK/BU"
"A,BK/G"
"A,BK/O"
"A,BK/P"
"A,BK/PK"
"A,BK/R"
"A,BK/W"
"A,BK/Y"
"A,BU"
"A,BU/BK"
"A,BU/BU"
"A,BU/G"
"A,BU/O"
"A,BU/P"
"A,BU/PK"
"A,BU/R"
"A,BU/W"
"A,BU/Y"
"A,G"
"A,G/BK"
"A,G/BU"
"A,G/G"
"A,G/O"
"A,G/P"
"A,G/PK"
"A,G/R"
"A,G/W"
"A,G/Y"
"A,O"
"A,O/BK"
"A,O/BU"
"A,O/G"
"A,O/O"
"A,O/P"
"A,O/PK"
"A,O/R"
"A,O/W"
"A,O/Y"
"A,P"
"A,P/BK"
"A,P/BU"
"A,P/G"
"A,P/O"
"A,P/P"
"A,P/PK"
"A,P/R"
"A,P/W"
"A,P/Y"
"A,PK"
"A,PK/BK"
"A,PK/BU"
"A,PK/G"
"A,PK/O"
"A,PK/P"
"A,PK/PK"
"A,PK/R"
"A,PK/W"
"A,PK/Y"
"A,R"
"A,R/BK"
"A,R/BU"
"A,R/G"
"A,R/O"
"A,R/P"
"A,R/PK"
"A,R/R"
"A,R/W"
"A,R/Y"
"A,W"
"A,W/BK"
"A,W/BU"
"A,W/G"
"A,W/O"
"A,W/P"
"A,W/PK"
"A,W/R"
"A,W/W"
"A,W/Y"
"A,Y"
"A,Y/BK"
"A,Y/BU"
"A,Y/G"
"A,Y/O"
"A,Y/P"
"A,Y/PK"
"A,Y/R"
"A,Y/W"
"A,Y/Y"
"A/BK,-"
"A/BK,BK"
"A/BK,BK/BK"
"A/BK,BK/BU"
"A/BK,BK/G"
"A/BK,BK/O"
"A/BK,BK/P"
"A/BK,BK/PK"
"A/BK,BK/R"
"A/BK,BK/W"
"A/BK,BK/Y"
"A/BK,BU"
"A/BK,BU/BK"
"A/BK,BU/BU"
"A/BK,BU/G"
"A/BK,BU/O"
"A/BK,BU/P"
"A/BK,BU/PK"
"A/BK,BU/R"
"A/BK,BU/W"
"A/BK,BU/Y"
"A/BK,G"
"A/BK,G/BK"
"A/BK,G/BU"
"A/BK,G/G"
"A/BK,G/O"
"A/BK,G/P"
"A/BK,G/PK"
"A/BK,G/R"
"A/BK,G/W"
"A/BK,G/Y"
"A/BK,O"
"A/BK,O/BK"
"A/BK,O/BU"
"A/BK,O/G"
"A/BK,O/O"
"A/BK,O/P"
"A/BK,O/PK"
"A/BK,O/R"
"A/BK,O/W"
"A/BK,O/Y"
"A/BK,P"
"A/BK,P/BK"
"A/BK,P/BU"
"A/BK,P/G"
"A/BK,P/O"
"A/BK,P/P"
"A/BK,P/PK"
"A/BK,P/R"
"A/BK,P/W"
"A/BK,P/Y"
"A/BK,PK"
"A/BK,PK/BK"
"A/BK,PK/BU"
"A/BK,PK/G"
"A/BK,PK/O"
"A/BK,PK/P"
"A/BK,PK/PK"
"A/BK,PK/R"
"A/BK,PK/W"
"A/BK,PK/Y"
"A/BK,R"
"A/BK,R/BK"
"A/BK,R/BU"
"A/BK,R/G"
"A/BK,R/O"
"A/BK,R/P"
"A/BK,R/PK"
"A/BK,R/R"
"A/BK,R/W"
"A/BK,R/Y"
"A/BK,W"
"A/BK,W/BK"
"A/BK,W/BU"
"A/BK,W/G"
"A/BK,W/O"
"A/BK,W/P"
"A/BK,W/PK"
"A/BK,W/R"
"A/BK,W/W"
"A/BK,W/Y"
"A/BK,Y"
"A/BK,Y/BK"
"A/BK,Y/BU"
"A/BK,Y/G"
"A/BK,Y/O"
"A/BK,Y/P"
"A/BK,Y/PK"
"A/BK,Y/R"
"A/BK,Y/W"
"A/BK,Y/Y"
"A/BU,-"
"A/BU,BK"
"A/BU,BK/BK"
"A/BU,BK/BU"
"A/BU,BK/G"
"A/BU,BK/O"
"A/BU,BK/P"
"A/BU,BK/PK"
"A/BU,BK/R"
"A/BU,BK/W"
"A/BU,BK/Y"
"A/BU,BU"
"A/BU,BU/BK"
"A/BU,BU/BU"
"A/BU,BU/G"
"A/BU,BU/O"
"A/BU,BU/P"
"A/BU,BU/PK"
"A/BU,BU/R"
"A/BU,BU/W"
"A/BU,BU/Y"
"A/BU,G"
"A/BU,G/BK"
"A/BU,G/BU"
"A/BU,G/G"
"A/BU,G/O"
"A/BU,G/P"
"A/BU,G/PK"
"A/BU,G/R"
"A/BU,G/W"
"A/BU,G/Y"
"A/BU,O"
"A/BU,O/BK"
"A/BU,O/BU"
"A/BU,O/G"
"A/BU,O/O"
"A/BU,O/P"
"A/BU,O/PK"
"A/BU,O/R"
"A/BU,O/W"
"A/BU,O/Y"
"A/BU,P"
"A/BU,P/BK"
"A/BU,P/BU"
"A/BU,P/G"
"A/BU,P/O"
"A/BU,P/P"
"A/BU,P/PK"
"A/BU,P/R"
"A/BU,P/W"
"A/BU,P/Y"
"A/BU,PK"
"A/BU,PK/BK"
"A/BU,PK/BU"
"A/BU,PK/G"
"A/BU,PK/O"
"A/BU,PK/P"
"A/BU,PK/PK"
"A/BU,PK/R"
"A/BU,PK/W"
"A/BU,PK/Y"
"A/BU,R"
"A/BU,R/BK"
"A/BU,R/BU"
"A/BU,R/G"
"A/BU,R/O"
"A/BU,R/P"
"A/BU,R/PK"
"A/BU,R/R"
"A/BU,R/W"
"A/BU,R/Y"
"A/BU,W"
"A/BU,W/BK"
"A/BU,W/BU"
"A/BU,W/G"
"A/BU,W/O"
"A/BU,W/P"
"A/BU,W/PK"
"A/BU,W/R"
"A/BU,W/W"
"A/BU,W/Y"
"A/BU,Y"
"A/BU,Y/BK"
"A/BU,Y/BU"
"A/BU,Y/G"
"A/BU,Y/O"
"A/BU,Y/P"
"A/BU,Y/PK"
"A/BU,Y/R"
"A/BU,Y/W"
"A/BU,Y/Y"
"A/G,-"
"A/G,BK"
"A/G,BK/BK"
"A/G,BK/BU"
"A/G,BK/G"
"A/G,BK/O"
"A/G,BK/P"
"A/G,BK/PK"
"A/G,BK/R"
"A/G,BK/W"
"A/G,BK/Y"
"A/G,BU"
"A/G,BU/BK"
"A/G,BU/BU"
"A/G,BU/G"
"A/G,BU/O"
"A/G,BU/P"
"A/G,BU/PK"
"A/G,BU/R"
"A/G,BU/W"
"A/G,BU/Y"
"A/G,G"
