species,birdID,date,time,longitude,latitude
BBPL,7,2017-09-14,00:55:46+00,-109.29273,25.76291
BBPL,8,2017-07-19,00:33:03+00,-150.65571,70.42072
BBPL,8,2017-07-07,22:24:11+00,-150.66841,70.41882
BBPL,8,2017-07-27,23:34:03+00,-150.73005,70.50257
BBPL,8,2017-07-28,01:41:29+00,-150.71616,70.49698
BBPL,8,2017-07-28,00:30:06+00,-150.77615,70.48458
BBPL,8,2017-08-04,00:24:12+00,-121.65202,62.76351
BBPL,8,2017-08-04,00:43:59+00,-122.10398,62.40147
BBPL,8,2017-08-04,03:42:30+00,-120.83689,60.61856
BBPL,8,2017-08-11,01:06:59+00,-108.45618,51.44762
BBPL,8,2017-08-08,16:11:40+00,-108.45963,51.48143
BBPL,8,2017-08-15,10:53:08+00,-108.44203,51.39024
BBPL,8,2017-08-17,12:09:01+00,-93.49523,35.15004
BBPL,8,2017-08-17,20:10:58+00,-92.15989,31.944
BBPL,8,2017-08-19,23:50:58+00,-91.36601,29.43448
BBPL,8,2017-08-20,00:44:33+00,-91.37114,29.43041
BBPL,8,2017-08-19,21:33:28+00,-91.3618,29.41266
BBPL,8,2017-08-22,03:15:55+00,-91.41427,29.36989
BBPL,8,2017-09-18,01:50:56+00,-91.40072,29.37159
BBPL,8,2017-09-13,15:31:33+00,-91.3965,29.35869
BBPL,8,2017-09-11,13:23:16+00,-91.36523,29.33317
BBPL,19,2017-07-10,06:40:50+00,-166.32696,64.85946
BBPL,19,2017-07-10,05:35:26+00,-166.3195,64.86767
BBPL,19,2017-07-12,08:19:05+00,-166.31178,64.86563
BBPL,19,2017-07-07,23:50:29+00,-166.33673,64.88854
BBPL,19,2017-07-08,03:44:51+00,-166.31691,64.88001
BBPL,19,2017-08-04,04:00:38+00,-165.79338,61.51615
BBPL,19,2017-07-28,23:19:22+00,-165.80444,61.5115
BBPL,19,2017-07-29,03:34:16+00,-165.82535,61.53147
BBPL,19,2017-07-18,14:32:05+00,-165.76985,61.53092
BBPL,19,2017-07-14,07:40:02+00,-165.68759,61.50974
BBPL,19,2017-07-14,05:51:06+00,-165.69259,61.50553
BBPL,19,2017-07-30,22:38:30+00,-165.89543,61.50208
BBPL,19,2017-07-28,20:49:20+00,-165.89366,61.49207
BBPL,19,2017-07-16,07:56:53+00,-165.67191,61.24328
BBPL,19,2017-07-16,06:59:11+00,-165.6731,61.23894
BBPL,19,2017-07-16,14:23:00+00,-165.66486,61.23549
BBPL,19,2017-08-06,08:00:24+00,-162.30377,58.42459
BBPL,19,2017-08-08,14:01:16+00,-135.67694,43.38924
BBPL,19,2017-08-12,18:17:08+00,-116.31101,31.11804
BBPL,19,2017-08-10,13:25:47+00,-116.31195,31.11107
BBPL,19,2017-09-13,04:48:01+00,-113.13419,26.72826
BBPL,19,2017-09-02,12:36:59+00,-113.13513,26.72236
BBPL,19,2017-09-08,22:42:25+00,-113.12198,26.73605
BBPL,19,2017-08-29,14:50:38+00,-113.18883,26.70808
BBPL,19,2017-09-12,21:58:31+00,-113.15486,26.67698
BBPL,19,2017-09-12,23:40:45+00,-113.14805,26.67073
BBPL,20,2017-07-08,08:44:00+00,-166.25613,64.87108
BBPL,20,2017-07-08,05:26:23+00,-166.26339,64.8693
BBPL,20,2017-07-08,01:41:35+00,-166.23667,64.87097
BBPL,20,2017-07-06,00:32:00+00,-166.26456,64.86337
BBPL,20,2017-07-10,05:35:02+00,-163.93703,63.14077
BBPL,20,2017-07-10,05:51:13+00,-163.96694,63.13534
BBPL,20,2017-07-10,09:07:58+00,-164.22933,63.09868
BBPL,20,2017-07-10,07:23:27+00,-164.24218,63.09418
BBPL,20,2017-07-16,17:03:33+00,-164.44549,62.94956
BBPL,20,2017-07-16,14:22:42+00,-164.4219,62.95628
BBPL,20,2017-07-18,20:06:34+00,-164.49513,62.74615
BBPL,20,2017-07-23,07:09:43+00,-164.56477,62.70677
BBPL,20,2017-07-25,06:36:07+00,-164.58508,62.69284
BBPL,20,2017-07-27,07:13:57+00,-163.06644,60.11054
BBPL,20,2017-07-29,15:58:51+00,-163.10915,60.10457
BBPL,20,2017-07-29,18:18:22+00,-163.11635,60.11569
BBPL,20,2017-07-31,15:17:54+00,-140.00844,53.81744
BBPL,20,2017-07-31,15:46:41+00,-139.77559,53.83397
BBPL,20,2017-07-31,19:05:20+00,-138.1314,54.20921
BBPL,20,2017-07-31,20:38:29+00,-137.16891,54.0593
BBPL,20,2017-08-05,06:45:13+00,-124.56939,48.36885
BBPL,20,2017-08-03,03:37:18+00,-124.62863,48.37576
BBPL,20,2017-08-07,05:56:33+00,-124.02019,46.85267
BBPL,20,2017-08-07,01:40:51+00,-124.04106,46.84895
BBPL,20,2017-08-09,05:19:03+00,-123.99343,46.22756
BBPL,20,2017-08-09,12:03:41+00,-124.00794,46.2218
BBPL,20,2017-08-15,15:49:10+00,-119.85168,36.13151
BBPL,20,2017-08-11,14:38:16+00,-119.8417,36.12149
BBPL,20,2017-08-11,14:05:28+00,-119.8059,36.11498
BBPL,20,2017-08-20,01:58:11+00,-119.64846,35.99488
BBPL,20,2017-08-22,01:02:53+00,-116.00643,30.44636
BBPL,20,2017-08-22,02:48:05+00,-116.01399,30.44287
BBPL,20,2017-09-08,02:06:36+00,-116.00566,30.42158
BBPL,20,2017-09-16,17:48:38+00,-116.00442,30.41831
LBCU,154072,2017-04-10,11:19:52+00,-101.32186,43.93847
LBCU,154072,2017-04-18,14:10:48+00,-101.32043,43.90205
LBCU,154072,2017-04-21,00:45:55+00,-101.30903,43.90123
LBCU,154072,2017-04-10,13:06:06+00,-101.30274,43.91444
LBCU,154072,2017-04-02,09:52:46+00,-101.29278,43.8761
LBCU,154072,2017-04-01,03:26:46+00,-101.00692,43.71871
LBCU,154072,2017-04-03,11:42:30+00,-101.00875,43.70722
LBCU,154072,2017-03-29,20:24:39+00,-101.72022,38.45157
LBCU,154072,2017-03-27,13:22:00+00,-99.17824,33.47848
LBCU,154072,2017-03-21,14:10:07+00,-97.36963,27.74
LBCU,154072,2017-03-26,09:35:59+00,-97.33537,27.71523
LBCU,154072,2017-05-03,23:57:12+00,-101.31734,43.91562
LBCU,154074,2017-06-22,09:28:17+00,-105.28947,46.58681
LBCU,154074,2017-06-27,03:27:59+00,-105.0071,46.6648
LBCU,154074,2017-06-24,15:49:28+00,-105.12106,46.5841
LBCU,154074,2017-06-07,01:09:09+00,-105.05836,46.5408
LBCU,154074,2017-06-30,17:15:04+00,-103.54635,39.52124
LBCU,154074,2017-04-04,13:00:28+00,-101.24989,37.69985
LBCU,154074,2017-04-02,03:06:48+00,-100.93213,37.55099
LBCU,154074,2017-03-25,21:10:02+00,-101.22945,37.82889
LBCU,154074,2017-10-08,22:01:48+00,-97.315,27.89566
LBCU,154074,2017-03-23,16:26:58+00,-97.30149,27.88768
LBCU,154074,2017-07-12,12:11:23+00,-97.31719,27.88743
LBCU,154074,2017-09-09,20:52:58+00,-97.34363,27.85671
LBCU,154074,2017-09-25,12:36:07+00,-97.3229,27.90108
LBCU,154074,2017-09-23,03:54:37+00,-97.33605,27.87262
LBCU,141773,2017-08-19,15:49:14+00,-97.22848,27.63437
LBCU,141773,2017-07-30,22:00:16+00,-97.24343,27.64186
LBCU,141773,2017-09-16,00:51:25+00,-97.20385,27.63881
LBCU,141773,2017-08-24,14:07:14+00,-97.22416,27.63016
LBCU,141773,2017-08-09,21:46:33+00,-97.23509,27.62792
LBCU,141773,2017-06-24,12:52:34+00,-102.21726,42.16586
LBCU,141773,2017-06-02,10:01:47+00,-102.19812,42.15391
LBCU,141773,2017-06-22,02:05:10+00,-102.29275,42.07509
LBCU,141773,2017-05-21,11:44:22+00,-102.15491,42.13673
LBCU,141773,2017-03-26,23:26:10+00,-102.20948,42.14819
LBCU,141773,2017-04-03,02:02:03+00,-102.20166,42.15795
LBCU,141773,2017-04-15,01:31:23+00,-102.21284,42.1699
LBCU,141773,2017-04-24,23:58:49+00,-102.2146,42.15644
LBCU,141773,2017-07-31,00:16:05+00,-97.24871,27.63898
LBCU,141773,2017-08-29,14:50:34+00,-97.23296,27.62852
LBCU,141773,2017-07-23,10:21:33+00,-97.21319,27.63618
LBCU,141773,2017-06-29,04:22:09+00,-97.20892,27.63654
LBCU,141773,2017-03-22,03:28:57+00,-97.21912,27.64081
LBCU,141773,2017-10-06,03:29:40+00,-97.21556,27.63741
LBCU,141773,2017-09-11,01:30:20+00,-97.20427,27.6408
LBCU,141773,2017-03-19,15:15:55+00,-97.22598,27.63321
LBCU,141772,2017-08-23,01:50:40+00,-97.32647,27.46013
LBCU,141772,2017-09-24,10:00:18+00,-97.34276,27.43498
LBCU,141772,2017-08-25,12:11:53+00,-97.33036,27.42915
LBCU,141772,2017-09-26,16:02:55+00,-97.29073,27.44152
LBCU,141772,2017-09-16,14:40:47+00,-97.2847,27.4521
LBCU,141772,2017-09-04,13:18:27+00,-97.27801,27.45515
LBCU,141772,2017-03-18,23:22:54+00,-97.31348,27.47309
LBCU,141772,2017-08-08,03:07:04+00,-97.33027,27.46079
LBCU,141772,2017-03-21,12:34:55+00,-97.32778,27.44129
LBCU,141772,2017-09-04,11:34:19+00,-97.27491,27.53706
LBCU,141772,2017-06-22,03:24:08+00,-97.27517,27.52913
LBCU,141772,2017-07-19,09:24:16+00,-97.27661,27.53313
LBCU,141772,2017-08-20,10:00:51+00,-97.32737,27.46055
LBCU,141772,2017-08-28,00:50:19+00,-97.44932,27.59375
LBCU,141772,2017-03-31,01:26:46+00,-101.82063,33.81648
LBCU,141772,2017-04-02,17:06:09+00,-101.23009,37.96786
LBCU,141772,2017-06-15,04:16:20+00,-103.77004,43.45644
LBCU,141772,2017-06-12,11:24:27+00,-103.94072,43.41836
LBCU,141772,2017-06-09,21:44:45+00,-103.77398,43.08807
LBCU,141772,2017-06-05,04:24:03+00,-103.75782,43.23042
LBCU,141772,2017-04-07,11:14:30+00,-101.2469,38.18753
LBCU,141772,2017-04-02,16:18:55+00,-101.21987,37.96687
LBCU,141772,2017-06-24,16:49:34+00,-97.28425,27.4455
LBCU,141772,2017-06-25,00:13:29+00,-97.32828,27.43339
LBCU,141772,2017-08-18,03:44:45+00,-97.32541,27.46023
LBCU,154069,2017-07-03,10:45:27+00,-106.90778,51.02399
LBCU,154069,2017-07-02,03:24:31+00,-107.00007,50.92801
LBCU,154069,2017-07-04,15:33:31+00,-106.82044,50.91242
LBCU,154069,2017-04-15,10:44:29+00,-106.87562,50.98833
LBCU,154069,2017-04-14,04:00:08+00,-106.86426,50.95504
LBCU,154069,2017-04-22,12:45:18+00,-106.90925,50.91955
LBCU,154069,2017-05-25,23:03:10+00,-106.8618,50.91596
LBCU,154069,2017-05-04,12:30:20+00,-106.89917,50.91446
LBCU,154069,2017-04-27,10:06:04+00,-106.88892,50.89568
LBCU,154069,2017-05-25,23:03:10+00,-106.8618,50.91596
LBCU,154069,2017-04-17,20:12:01+00,-106.84888,50.93757
LBCU,154069,2017-06-29,18:24:53+00,-106.81364,50.91172
LBCU,154069,2017-07-04,15:23:33+00,-106.82101,50.91381
LBCU,154069,2017-07-05,21:47:43+00,-102.18174,36.60803
LBCU,154069,2017-04-10,16:00:52+00,-102.0569,35.71724
LBCU,154069,2017-07-07,00:54:59+00,-102.25307,35.14352
LBCU,154069,2017-07-08,04:36:33+00,-102.34303,35.15
LBCU,154069,2017-04-03,11:42:06+00,-102.49417,34.99245
LBCU,154069,2017-03-28,11:23:20+00,-102.49075,35.05596
LBCU,154069,2017-03-26,00:44:27+00,-102.56227,34.99178
LBCU,154069,2017-04-02,04:47:00+00,-102.62458,34.93221
LBCU,154069,2017-04-01,01:27:04+00,-102.53093,34.83227
LBCU,154069,2017-08-06,04:34:41+00,-103.36041,33.07241
LBCU,154069,2017-07-19,01:55:08+00,-103.4179,33.07515
LBCU,154069,2017-09-26,16:03:23+00,-103.42041,33.00455
LBCU,154069,2017-08-25,13:28:04+00,-103.33785,33.03747
LBCU,154069,2017-10-01,13:25:42+00,-103.21436,33.13113
LBCU,154069,2017-10-06,12:59:38+00,-103.19045,33.12813
LBCU,154069,2017-09-13,04:47:45+00,-103.19029,32.90609
LBCU,154069,2017-10-06,14:06:41+00,-103.19781,33.13613
LBCU,154069,2017-10-09,02:50:57+00,-103.04107,32.9125
LBCU,154069,2017-03-20,00:12:30+00,-102.47592,35.02569
LBCU,154067,2017-05-07,11:33:52+00,-106.88489,50.91836
LBCU,154067,2017-04-19,17:50:13+00,-106.884,50.91705
LBCU,154067,2017-04-26,21:48:33+00,-106.85314,50.93175
LBCU,154067,2017-05-11,03:00:17+00,-106.86907,50.93427
LBCU,154067,2017-05-03,23:57:12+00,-106.88532,50.92354
LBCU,154067,2017-05-01,12:06:07+00,-106.90054,50.91552
LBCU,154067,2017-04-28,02:29:11+00,-106.89277,50.92606
LBCU,154067,2017-04-18,16:34:55+00,-102.48782,44.34017
LBCU,154067,2017-04-17,11:04:41+00,-103.06244,42.06661
LBCU,154067,2017-04-12,16:59:05+00,-101.99055,40.26602
LBCU,154067,2017-04-07,23:29:31+00,-81.28725,31.30844
LBCU,154067,2017-04-03,08:05:48+00,-81.27118,31.30904
LBCU,154067,2017-03-22,12:08:36+00,-81.28068,31.35118
LBCU,154067,2017-03-16,14:36:27+00,-81.31174,31.35045
LBCU,154067,2017-03-17,15:57:16+00,-81.29139,31.36868
LBCU,154067,2017-04-04,11:48:56+00,-81.29255,31.35371
LBCU,154067,2017-03-22,08:41:23+00,-81.27434,31.3099
LBCU,154067,2017-03-25,23:48:55+00,-81.30146,31.35356
PALO,Y-K 03,2017-06-20,19:53:02+00,-165.10886,61.21434
PALO,Y-K 03,2017-07-20,15:50:33+00,-165.09313,61.21728
PALO,Y-K 03,2017-06-23,00:23:43+00,-165.73876,60.96133
PALO,Y-K 03,2017-06-04,19:38:42+00,-165.65112,61.05057
PALO,Y-K 03,2017-06-30,00:44:35+00,-165.93391,61.06842
PALO,Y-K 03,2017-07-09,02:23:08+00,-166.25751,61.11982
PALO,Y-K 03,2017-07-22,20:27:33+00,-165.47802,60.816
PALO,Y-K 03,2017-05-15,03:02:02+00,-165.56802,60.89285
PALO,Y-K 03,2017-07-29,16:38:35+00,-165.35999,59.55133
PALO,Y-K 03,2017-08-03,06:55:51+00,-165.36251,59.53696
PALO,Y-K 03,2017-07-31,23:43:35+00,-165.81866,59.6229
PALO,Y-K 03,2017-08-07,20:38:38+00,-165.22645,59.3316
PALO,Y-K 03,2017-08-10,05:06:16+00,-165.39465,59.34076
PALO,Y-K 03,2017-08-07,20:49:20+00,-165.22394,59.33355
PALO,Y-K 03,2017-08-14,19:57:58+00,-164.62659,59.26333
PALO,Y-K 03,2017-08-17,01:37:43+00,-164.84714,59.27526
PALO,Y-K 03,2017-08-17,04:59:56+00,-164.75813,59.25229
PALO,Y-K 03,2017-08-21,14:47:25+00,-162.60848,55.487
PALO,Y-K 03,2017-08-21,18:44:46+00,-163.4152,55.04293
PALO,Y-K 03,2017-09-13,17:03:52+00,-162.4575,54.88129
PALO,Y-K 03,2017-10-04,07:42:01+00,-162.31496,54.99567
PALO,Y-K 03,2017-08-26,06:40:02+00,-162.38792,54.79595
PALO,Y-K 03,2017-05-26,14:39:08+00,-165.53228,60.94155
PALO,Y-K 03,2017-05-21,21:48:54+00,-165.33258,61.05923
PALO,Y-K 03,2017-07-13,17:11:21+00,-165.47273,60.85158
PALO,Y-K 03,2017-04-06,04:59:30+00,-111.38741,28.10998
PALO,Y-K 03,2017-03-23,13:59:43+00,-111.62162,28.35815
PALO,Y-K 03,2017-04-01,15:24:37+00,-111.36468,28.20454
PALO,Y-K 03,2017-04-13,04:15:31+00,-112.85478,28.77197
PALO,Y-K 03,2017-04-15,12:30:18+00,-114.62781,30.79653
PALO,Y-K 03,2017-04-20,01:34:38+00,-117.39486,33.18335
PALO,Y-K 03,2017-04-22,06:14:15+00,-120.75832,35.10468
PALO,Y-K 03,2017-04-24,14:05:48+00,-122.15974,37.11694
PALO,Y-K 03,2017-04-24,15:00:22+00,-122.67243,37.72995
PALO,Y-K 03,2017-04-29,00:46:47+00,-124.29901,46.93157
PALO,Y-K 03,2017-05-03,17:31:28+00,-132.09134,54.69918
PALO,Y-K 03,2017-05-08,07:27:04+00,-152.18425,57.53801
PALO,Y-K 03,2017-05-10,14:22:09+00,-158.85568,57.12159
PALO,Y-K 03,2017-05-12,21:29:14+00,-162.99583,59.45887
PALO,Y-K 03,2017-05-19,17:38:54+00,-165.34471,61.0729
PALO,Alpine 03,2017-03-15,21:53:25+00,124.56093,33.84558
PALO,Alpine 03,2017-03-24,23:04:49+00,123.92943,33.70936
PALO,Alpine 03,2017-04-09,21:55:15+00,123.6602,34.83125
PALO,Alpine 03,2017-04-16,19:58:30+00,124.05543,35.82405
PALO,Alpine 03,2017-04-25,21:55:24+00,124.69347,36.61825
PALO,Alpine 03,2017-04-30,11:52:10+00,124.99906,36.84548
PALO,Alpine 03,2017-05-02,19:26:04+00,124.68899,36.90158
PALO,Alpine 03,2017-05-11,23:08:16+00,124.65523,37.58679
PALO,Alpine 03,2017-05-16,13:01:53+00,132.55054,42.1395
PALO,Alpine 03,2017-05-18,20:02:54+00,142.86865,46.07048
PALO,Alpine 03,2017-05-23,05:52:57+00,155.4973,54.352
PALO,Alpine 03,2017-05-25,16:31:22+00,156.09581,56.98923
PALO,Alpine 03,2017-05-27,19:31:58+00,171.15279,60.47419
PALO,Alpine 03,2017-06-03,20:01:06+00,177.05247,62.34334
PALO,Alpine 03,2017-06-05,23:18:39+00,-171.7731,64.51269
PALO,Alpine 03,2017-06-08,09:13:41+00,-160.21656,70.25622
PALO,Alpine 03,2017-08-15,23:42:11+00,-150.96046,70.32297
PALO,Alpine 03,2017-09-19,04:08:17+00,-151.00887,70.33374
PALO,Alpine 03,2017-06-15,04:35:37+00,-150.96835,70.30903
PALO,Alpine 03,2017-07-24,05:25:02+00,-151.01724,70.33104
PALO,Alpine 03,2017-09-26,00:33:10+00,-151.00816,70.33521
PALO,Alpine 03,2017-08-29,18:00:16+00,-151.02206,70.32988
PALO,Alpine 03,2017-09-28,05:44:05+00,-154.35816,71.24835
PALO,Alpine 03,2017-09-30,16:34:35+00,-152.67801,71.21572
PALO,Alpine 03,2017-10-02,19:48:12+00,-160.07712,71.0975
PALO,Alpine 03,2017-10-02,23:21:15+00,-163.53049,70.37145
PALO,Alpine 03,2017-10-05,06:18:17+00,-166.17279,69.93804
PALO,Alpine 03,2017-10-07,09:44:13+00,-170.99206,66.65098
PALO,Alpine 03,2017-10-09,16:47:34+00,-169.58311,66.21187
PALO,Alpine 01,2017-03-27,19:36:12+00,125.33748,36.32095
PALO,Alpine 01,2017-04-05,19:34:51+00,124.1634,36.56535
PALO,Alpine 01,2017-04-14,19:29:47+00,125.19623,36.81045
PALO,Alpine 01,2017-05-22,21:50:10+00,124.95162,37.61087
PALO,Alpine 01,2017-05-27,10:45:00+00,128.40133,38.80326
PALO,Alpine 01,2017-05-29,13:34:00+00,131.27512,41.23306
PALO,Alpine 01,2017-05-31,18:52:32+00,143.21113,46.93123
PALO,Alpine 01,2017-06-05,07:23:30+00,151.63018,53.55897
PALO,Alpine 01,2017-06-09,18:39:14+00,164.69147,61.24233
PALO,Alpine 01,2017-06-12,04:11:20+00,-179.78313,63.42659
PALO,Alpine 01,2017-08-29,16:59:48+00,-151.0281,70.31757
PALO,Alpine 01,2017-07-06,17:31:11+00,-150.99467,70.30597
PALO,Alpine 01,2017-06-25,13:38:43+00,-151.01361,70.32233
