"hub","site","date","species","bandNumber","bandCombo"
"DC","SULLPAUVA1",2000-05-08,"HOWR",192085883,"AL,R/BU"
"DC","MCKEJANMD1",2000-05-12,"CACH",192085886,"O/AL,BK"
"DC","EDEREDWVA1",2000-05-18,"CACH",192085896,"BU,AL/BU"
"DC","MOSMCARMD1",2000-06-03,"TUTI",114105713,"Y,O/AL"
"DC","BARBJERMD1",2000-06-03,"CACH",192085906,"BU/AL,O"
"DC","ROHRSALMD1",2000-06-13,"NOCA",79117806,"Y,AL/BU"
"DC","HUTCBARVA1",2000-06-17,"HOWR",192085927,"Y/R,AL"
"DC","GOUGGREMD1",2000-06-15,"NOCA",79117746,"AL/G,Y"
"DC","BRUEELIMD1",2000-06-14,"CARW",114105727,"Y,Y/AL"
"DC","MCCOJOHMD1",2000-07-13,"NOCA",79117826,"AL,BU/Y"
"DC","DORNROBMD1",2000-07-21,"NOCA",79117829,"BK,AL/P"
"DC","TATEJUAMD1",2000-06-01,"NOCA",79117738,"AL,Y/O"
"DC","MOSMCARMD1",2000-06-02,"NOCA",79117743,"O/AL,BU"
"DC","GOUGGREMD1",2000-06-15,"NOCA",79117747,"BK/AL,BU"
"DC","FERRSUEMD1",2000-07-05,"CARW",114105745,"BU,BU/AL"
"DC","RABIANDMD1",2000-07-20,"NOCA",79117750,"R/P,AL"
"DC","TATEJUAMD1",2000-06-01,"NOCA",79117739,"R/AL,BK"
"DC","MOSMCARMD1",2000-06-03,"NOCA",79117744,"W/AL,G"
"DC","BARBJERMD1",2000-06-02,"CACH",192085905,"BK,W/AL"
"DC","TUFTKATMD1",2000-06-07,"NOCA",79117801,"G,AL/Y"
"DC","REITBOBMD1",2000-06-07,"GRCA",79117802,"Y/AL,Y"
"DC","ROHRSALMD1",2000-06-13,"CACH",192085916,"AL/BU,W"
"DC","HUTCBARVA1",2000-06-17,"TUTI",114105720,"AL/BU,O"
"DC","HUTCBARVA1",2000-06-17,"CACH",192085930,"AL,G/O"
"DC","HUTCBARVA1",2000-06-17,"CACH",192085932,"AL,P/W"
"DC","HUTCBARVA1",2000-06-17,"TUTI",114105734,"P,W/AL"
"DC","MAHOJIMMD1",2000-06-16,"CACH",192085926,"W/AL,R"
"DC","GOUGGREMD1",2000-06-15,"CACH",192085921,"AL,P/P"
"DC","BRUEELIMD1",2000-06-14,"TUTI",114105723,"AL,O/O"
"DC","BRUEELIMD1",2000-06-14,"TUTI",114105724,"AL,Y/Y"
"DC","GOCHJOAMD1",2000-07-07,"NOCA",79117825,"Y,P/AL"
"DC","GALLTERMD1",2000-07-25,"NOCA",79117752,"O,G/AL"
"DC","OMLAKEVMD1",2000-07-24,"NOCA",79117834,"W,AL/O"
"DC","MOSMCARMD1",2000-06-03,"TUTI",114105714,"R/AL,P"
"DC","BARBJERMD1",2000-06-02,"CACH",192085907,"AL/R,BK"
"DC","BRUEELIMD1",2000-06-14,"CACH",192085920,"AL,Y/R"
"DC","BURRANDMD1",2001-04-15,"AMRO",115287401,"R,O/AL"
"DC","MAHOJIMMD1",2000-06-16,"HOWR",192085922,"R/AL,Y"
"DC","PERRCHRMD1",2000-04-28,"CARW",114105702,"BU/AL,G"
"DC","OMLAKEVMD1",2000-07-24,"CARW",114105755,"BK/AL,R"
"DC","OMLAKEVMD1",2000-07-24,"CACH",192085966,"BU/AL,G"
"DC","OMLAKEVMD1",2000-07-24,"CACH",192085967,"AL/BK,BK"
"DC","PERRCHRMD1",2000-04-28,"CACH",192085879,"G/R,AL"
"DC","MCKEJANMD1",2000-05-12,"CARW",114105706,"P/AL,BU"
"DC","JONECBRMD1",2000-06-09,"NOCA",79117804,"R/AL,P"
"DC","GOUGGREMD1",2000-06-15,"SOSP",114105729,"P,AL/R"
"DC","CALLJERMD1",2000-06-29,"NOCA",79117816,"AL,BU/Y"
"DC","SALOSHEMD1",2000-06-29,"CARW",114105743,"AL/Y,O"
"DC","HEATSUEVA1",2000-06-30,"CACH",192085943,"P,AL/BU"
"DC","FERRSUEMD1",2000-07-05,"NOCA",79117822,"AL,BU/P"
"DC","MCKEANNVA1",2000-07-06,"TUTI",114105746,"AL,G/G"
"DC","KOSLDREMD1",2001-03-15,"NOCA",79117003,"AL/Y,BU"
"DC","KOSLDREMD1",2001-03-15,"CACH",82094561,"R/AL,G"
"DC","HAMMBARMD1",2001-03-23,"CARW",114105771,"Y/AL,Y"
"DC","HAMMBARMD1",2001-03-23,"CACH",82094570,"AL/BU,P"
"DC","MORAJANMD1",2001-04-04,"NOCA",79117015,"AL,R/P"
"DC","ODELVINMD1",2000-06-21,"NOCA",79117813,"G,AL/O"
"DC","MCKEANNVA1",2000-07-06,"CACH",192085951,"P/AL,P"
"DC","WELLCARMD1",2001-04-25,"CACH",82094595,"AL,O/W"
"DC","VERSBETMD1",2001-04-26,"CARW",114105782,"AL/G,P"
"DC","BURRANDMD1",2001-04-18,"NOCA",79117023,"P/BU,AL"
"DC","TINIKATMD1",2001-04-23,"CACH",82094593,"W/O,AL"
"DC","WISECELMD1",2001-04-17,"NOCA",79117020,"AL/W,W"
"DC","WISECELMD1",2001-04-17,"SOSP",114105776,"Y/W,AL"
"DC","MOLIKARMD1",2001-05-07,"GRCA",175151970,"AL,BU/Y"
"DC","CAINBRIMD1",2001-05-02,"GRCA",175151978,"Y/G,AL"
"DC","CAINBRIMD1",2001-05-02,"NOCA",175151977,"AL/O,Y"
"DC","HAMIMARMD1",2001-04-18,"NOCA",175151999,"AL,G/R"
"DC","NICHALIMD1",2001-04-24,"CACH",225024008,"O/AL,BU"
"DC","WILLRAJMD1",2001-05-09,"SOSP",114105790,"AL,R/P"
"DC","SINGTONMD1",2001-04-24,"NOCA",79117024,"AL/W,O"
"DC","ROHRSALMD1",2001-05-08,"GRCA",79117032,"AL,R/Y"
"DC","GEHRDALMD1",2001-05-08,"GRCA",175151968,"BK/AL,R"
"DC","CAINBRIMD1",2001-04-19,"CACH",225024004,"AL,BU/W"
"DC","CAINBRIMD1",2001-04-19,"SOSP",114105549,"W/W,AL"
"DC","HERBJOAMD1",2001-05-18,"NOCA",79117049,"R/W,AL"
"DC","GOUGGREMD1",2001-05-17,"NOCA",175151946,"P,AL/P"
"DC","GOUGGREMD1",2001-05-17,"GRCA",175151945,"AL/Y,O"
"DC","LUCIDANMD1",2001-05-14,"NOCA",175151954,"BK/BK,AL"
"DC","ROHRSALMD1",2001-05-15,"CARW",114105796,"BK/AL,G"
"DC","CARLSHIMD1",2001-05-17,"NOCA",79117047,"AL/G,O"
"DC","FARYSIMMD1",2001-05-23,"SOSP",114105602,"AL/G,O"
"DC","MISBJANMD1",2001-05-22,"NOCA",175151943,"AL/P,Y"
"DC","BARBJERMD1",2001-06-08,"SOSP",114105594,"R,R/AL"
"DC","BARBJERMD1",2001-06-08,"NOMO",115287532,"O/R,AL"
"DC","OBRICHRMD1",2001-05-31,"CARW",114105609,"AL,Y/R"
"DC","OBRICHRMD1",2001-05-31,"SOSP",114105610,"W,AL/W"
"DC","COLALISMD1",2001-06-15,"NOCA",175151918,"G,AL/W"
"DC","MALLBARMD1",2001-06-19,"CARW",114105440,"O/Y,AL"
"DC","BERNCHRMD1",2001-06-19,"SOSP",114105626,"R/R,AL"
"DC","SANFCARMD1",2001-06-06,"CARW",114105591,"Y,AL/W"
"DC","SANFCARMD1",2001-06-06,"NOCA",175151934,"W/AL,Y"
"DC","WINGJERMD1",2001-05-24,"CARW",114105603,"O/AL,BK"
"DC","MCCAKEVMD1",2001-06-16,"NOCA",175151915,"O/G,AL"
"DC","KORRHARMD1",2001-06-01,"GRCA",175151937,"AL,Y/BU"
"DC","KORRHARMD1",2001-06-01,"CARW",114105584,"BU/BU,AL"
"DC","RAUNERIMD1",2001-05-24,"SOSP",114105580,"AL/Y,BK"
"DC","LERNJEFMD1",2001-06-26,"HOWR",225024074,"Y,O/AL"
"DC","HARWRANDC1",2001-06-25,"SOSP",114105446,"O/AL,Y"
"DC","MUTRCYNMD1",2001-06-26,"NOCA",800121312,"W,G/AL"
"DC","MERRJOAMD1",2001-06-20,"NOCA",800121210,"P/AL,BU"
"DC","MORAANGMD1",2001-06-18,"SOSP",114105622,"P,BU/AL"
"DC","MCKEJANMD1",2001-06-08,"NOCA",79117091,"P/AL,BK"
"DC","MCKEJANMD1",2001-06-08,"NOCA",79117092,"O,Y/AL"
"DC","FAGABERMD1",2001-04-30,"CACH",225024202,"AL,R/BU"
"DC","SULLPAUVA1",2001-05-07,"NOCA",79117031,"W,AL/BU"
"DC","RCP_SMBDC1",2001-05-11,"NOCA",175151959,"AL/G,G"
"DC","RCP_SMBDC1",2001-05-11,"GRCA",175151958,"BU,BU/AL"
"DC","RCP_SMBDC1",2001-05-11,"SOSP",114105569,"O/AL,R"
"DC","RCP_SMBDC1",2001-05-11,"GRCA",175151956,"AL/O,BK"
"DC","UNGELAUDC1",2001-07-03,"NOCA",79117837,"AL,P/P"
"DC","CAMPGLOMD1",2001-05-31,"GRCA",175151939,"R,R/AL"
"DC","WOODPAUVA1",2001-07-10,"GRCA",800121318,"AL,R/O"
"DC","JACOAMYMD1",2001-07-06,"CARW",114105642,"AL,BU/BK"
"DC","JACOAMYMD1",2001-07-06,"GRCA",800121316,"AL,W/R"
"DC","EVANMICMD1",2001-05-31,"CACH",225024242,"AL/R,W"
"DC","EVANMICMD1",2001-05-31,"NOCA",79117075,"BU/W,AL"
"DC","EVANMICMD1",2001-05-30,"NOCA",79117076,"P,AL/Y"
"DC","MAHOJIMMD1",2001-05-24,"CARW",114105605,"W/AL,O"
"DC","STANJEFMD1",2001-06-18,"HOWR",225024404,"Y/AL,R"
"DC","HUNTDAVMD2",2001-07-02,"GRCA",79117835,"R/AL,O"
"DC","REITBOBMD1",2001-07-02,"SOSP",172148518,"W,BK/AL"
"DC","BEALTOMMD1",2001-06-12,"CARW",114105597,"W,G/AL"
"DC","RAYTIMMD1",2001-06-12,"CARW",114105599,"AL/R,Y"
"DC","CONNBARMD1",2001-06-13,"GRCA",175151921,"P/Y,AL"
"DC","STURCARMD1",2001-06-13,"CARW",172148501,"O,O/AL"
"DC","JOHNTHEMD1",2001-06-06,"GRCA",79117089,"O,AL/O"
"DC","REILJENMD1",2001-08-09,"NOCA",800121321,"BU,AL/O"
"DC","REILJENMD1",2001-08-09,"SOSP",114105648,"AL,Y/Y"
"DC","RAUNERIMD1",2000-06-02,"HOWR",192085903,"AL,Y/O"
"DC","DANIBARMD1",2000-06-01,"CACH",192085901,"AL,G/BK"
"DC","ROHRSALMD1",2000-06-13,"CARW",114105718,"W,R/AL"
"DC","GOUGGREMD1",2000-06-15,"NOCA",79117745,"AL/BU,O"
"DC","MANNJANDC1",2000-06-14,"CACH",192085917,"W/AL,Y"
"DC","MANNJANDC1",2000-06-14,"CACH",192085919,"AL/G,BU"
"DC","CALLJERMD1",2000-06-29,"CACH",192085940,"G/AL,R"
"DC","HEATSUEVA1",2000-06-30,"NOCA",79117820,"BK/AL,Y"
"DC","WIKACORMD1",2001-03-26,"CACH",82094571,"AL,Y/W"
"DC","GEHRDALMD1",2001-05-08,"NOCA",175151966,"G,P/AL"
"DC","ROHRSALMD1",2001-05-15,"NOCA",79117046,"AL,P/R"
"DC","CARLSHIMD1",2001-05-17,"HOWR",225024229,"BK,AL/R"
"DC","DORNROBMD1",2001-04-20,"AMRO",115287548,"AL,BK/O"
"DC","REITBOBMD1",2001-05-15,"SOSP",114105572,"BU,BU/AL"
"DC","MISBJANMD1",2001-05-22,"NOCA",175151944,"BK/AL,W"
"DC","SCOLWENMD1",2001-06-21,"GRCA",800121212,"P,AL/O"
"DC","TUFTKATMD1",2001-06-11,"CACH",225024051,"O/AL,G"
"DC","BRUEELIMD1",2001-06-18,"GRCA",800121203,"O/AL,Y"
"DC","BROWANNDC1",2001-06-26,"AMRO",115287530,"AL,Y/W"
"DC","BROWANNDC1",2001-06-26,"NOCA",175151905,"AL,P/W"
"DC","MERRJOAMD1",2001-06-20,"CARW",114105441,"Y/O,AL"
"DC","BURNNANMD1",2001-06-19,"CACH",225024265,"BU/BU,AL"
"DC","ANDRKENVA1",2001-06-20,"CACH",225024268,"R/R,AL"
"DC","MORAANGMD1",2001-06-18,"SOSP",114105623,"O,AL/R"
"DC","GELLNERMD1",2001-05-30,"NOMO",79117073,"P,O/AL"
"DC","BLOCDAVMD1",2001-06-02,"CACH",225024246,"P/BU,AL"
"DC","MANNJANDC1",2001-06-22,"CACH",225024415,"AL/R,R"
"DC","CAMPGLOMD1",2001-05-31,"CACH",225024044,"G/AL,O"
"DC","CAMPGLOMD1",2001-05-31,"NOCA",175151940,"AL/R,R"
"DC","JACOAMYMD1",2001-07-06,"CARW",114105641,"AL/BK,G"
"DC","RAYTIMMD1",2001-06-12,"CARW",114105598,"BU,AL/P"
"DC","TATEJUAMD1",2001-05-16,"CARW",114105574,"AL/W,P"
"DC","OMLAKEVMD1",2001-09-04,"CACH",225024294,"R,AL/G"
"DC","OMLAKEVMD1",2001-09-04,"CACH",225024295,"W,AL/Y"
"DC","OMLAKEVMD1",2001-09-04,"CACH",225024296,"P,BU/AL"
"DC","BALAELEMD1",2001-05-01,"CACH",225024210,"R,AL/O"
"DC","BLOCDAVMD1",2001-06-02,"CACH",225024245,"AL,-"
"DC","BARNDORMD1",2001-06-19,"HOWR",225024410,"O/Y,AL"
"DC","BURKSANMD1",2001-06-14,"CACH",225024064,"BK/P,AL"
"DC","CAUSSUSMD1",2001-05-09,"CACH",225024024,"Y/R,AL"
"DC","DANIBARMD1",2001-04-06,"CACH",82094583,"BK,G/AL"
"DC","DRAKBERMD1",2001-06-28,"CARW",172148514,"O,AL/W"
"DC","JACOAMYMD1",2001-07-06,"CACH",225024278,"AL,W/BU"
"DC","OMLAKEVMD1",2000-07-24,"CARW",114105754,"G/BU,AL"
"DC","PERRCHRMD1",2001-04-17,"CACH",225024001,"AL,G/BU"
"DC","SANFCARMD1",2001-06-06,"CACH",225024048,"O,G/AL"
"DC","PICKMARMD1",2001-06-15,"CACH",225024256,"AL/W,P"
"DC","SERCGHOMD1",2001-04-05,"CACH",82094576,"BK,AL/R"
"DC","CONNBARMD1",2001-06-13,"CACH",225024057,"R,P/AL"
"DC","SULLPAUVA1",2001-05-07,"GRCA",79117030,"R,AL/Y"
"DC","THOMSUEMD1",2001-04-09,"CACH",82094584,"O/AL,P"
"DC","THOMSUEMD1",2001-04-09,"CACH",82094585,"BK,Y/AL"
"DC","WOODPAUVA1",2001-07-10,"CACH",225024285,"G,O/AL"
"DC","TATEJUAMD1",2000-06-01,"NOCA",71917740,"G/AL,P"
"DC","GARDVALMD1",2001-04-12,"CACH",820974586,"G,R/AL"
"DC","GARDVALMD1",2001-04-12,"NOCA",79117018,"BU,AL/W"
"DC","GARDVALMD1",2001-04-12,"CACH",82094588,"AL,P/G"
"DC","WELLCARMD1",2001-04-25,"HOWR",82094594,"O/AL,Y"
"DC","GARDVALMD1",2001-05-01,"CACH",225024018,"P,O/AL"
"DC","WILLRAJMD1",2001-05-09,"NOCA",79117034,"AL/BU,BU"
"DC","GOUGGREMD1",2001-05-17,"SOSP",114105576,"AL/O,R"
"DC","CARLSHIMD1",2001-05-17,"HOWR",225024230,"AL/P,G"
"DC","DORNROBMD1",2001-04-20,"SOSP",114105552,"P/P,AL"
"DC","REITBOBMD1",2001-05-15,"HOWR",225024027,"AL/BU,R"
"DC","COLSKATMD1",2001-06-20,"NOCA",175151909,"AL/G,W"
"DC","CAMPROSMD1",2001-05-23,"CARW",114105577,"O,Y/AL"
"DC","GIBSELAMD1",2001-06-05,"NOCA",175151984,"W,AL/P"
"DC","TUFTKATMD1",2001-06-11,"CACH",225024052,"W,BU/AL"
"DC","EDEREDWVA1",2001-06-22,"NOCA",800121310,"W,W/AL"
"DC","EDEREDWVA1",2001-06-22,"SOSP",114105631,"BK/O,AL"
"DC","SALOSHEMD1",2001-06-25,"CARW",172148508,"O/R,AL"
"DC","SCHOPAUMD1",2001-06-04,"GRCA",79117081,"P,AL/BK"
"DC","COWLANDMD1",2001-06-15,"NOCA",79117099,"P,AL/BK"
"DC","SPEYPAUMD1",2001-04-18,"NOCA",175151997,"AL/P,R"
"DC","GOCHJOAMD1",2001-05-25,"NOCA",79117067,"AL/P,P"
"DC","MOSMCARMD1",2001-05-03,"CACH",225024020,"R/AL,P"
"DC","RAYTIMMD1",2001-06-12,"GRCA",175151923,"Y,AL/BK"
"DC","TATEJUAMD1",2001-05-16,"CARW",114105573,"R,AL/Y"
"DC","TATEJUAMD1",2001-05-16,"NOCA",175151948,"AL,G/W"
"DC","TATEJUAMD1",2001-05-16,"CACH",225024029,"W,AL/O"
"DC","GALLTERMD1",2000-07-25,"CARW",114105757,"AL/W,R"
"DC","CARLSHIMD1",2001-05-17,"GRCA",79117048,"G/AL,Y"
"DC","HUTCBARVA1",2001-06-22,"CACH",225024271,"Y/AL,P"
"DC","RCP_SMBDC1",2001-05-11,"NOCA",175151960,"P/AL,W"
"DC","RCP_SMBDC1",2001-05-11,"SOSP",114105568,"BU/P,AL"
"DC","TATEJUAMD1",2001-05-16,"AMRO",115287534,"AL/P,O"
"DC","STURCARMD1",2001-06-13,"CACH",225024059,"R/P,AL"
"DC","JOHNTHEMD1",2001-06-06,"AMRO",115287406,"AL/R,O"
"DC","DRAKBERMD1",2001-06-28,"CACH",225024078,"AL,R/BK"
"DC","HUNTDAVMD2",2001-06-15,"CACH",225024403,"P/AL,Y"
"DC","MANNJANDC1",2000-06-14,"CARW",114105722,"AL/O,R"
"DC","MCCOJOHMD1",2000-07-13,"TUTI",114105751,"O/AL,G"
"DC","MISBJANMD1",2001-05-22,"CACH",225024032,"AL/R,P"
"DC","OWENJOHMD1",2001-06-11,"CACH",225024053,"AL/G,Y"
"DC","STAVKORMD1",2001-05-23,"CACH",225024038,"P,W/AL"
"DC","RICHLIBMD1",2001-07-30,"CACH",225024288,"BU/AL,W"
"DC","COLALISMD1",2002-04-19,"HOWR",225090408,"AL/BU,BU"
"DC","COLSKATMD1",2002-04-26,"CACH",225090414,"P,AL/BK"
"DC","COLSKATMD1",2002-04-26,"CARW",114105683,"Y/W,AL"
"DC","GILLEVAMD1",2002-04-23,"NOCA",800121410,"BK.AL/G"
"DC","JEWELIBMD1",2002-04-18,"CARW",172148520,"R/AL,O"
"DC","JACOAMYMD1",2002-05-19,"GRCA",800121444,"W/O,AL"
"DC","BERGMICMD1",2002-05-04,"CARW",114105687,"BU/AL,R"
"DC","BURNNANMD1",2002-05-08,"CACH",225090423,"AL,Y/P"
"DC","WOODPAUVA1",2002-05-09,"GRCA",800121331,"Y/AL,G"
"DC","BERNCHRMD1",2002-05-10,"GRCA",800121424,"G/AL,G"
"DC","FREYFREMD1",2002-05-11,"GRCA",800121427,"AL,BU/G"
"DC","FREYFREMD1",2002-05-11,"NOCA",800121429,"O/AL,W"
"DC","FREYFREMD1",2002-05-11,"AMRO",115287425,"BU/G,AL"
"DC","BEALTOMMD1",2002-05-12,"NOCA",800121430,"BU,O/AL"
"DC","ODELVINMD1",2002-05-13,"CACH",225090430,"Y/AL,W"
"DC","LERNJEFMD1",2002-05-13,"GRCA",800121340,"AL,Y/P"
"DC","MUTRCYNMD1",2002-05-16,"NOCA",800121343,"O/AL,Y"
"DC","JOHNTHEMD1",2002-05-21,"GRCA",800121446,"P/AL,G"
"DC","SALOSHEMD1",2002-05-22,"CARW",172148525,"P,W/AL"
"DC","PERNMIKMD1",2002-05-22,"NOCA",96247801,"AL,Y/O"
"DC","NATGALLDC1",2002-06-05,"CACH",225090447,"AL/G,W"
"DC","KINDFAPMD1",2002-06-13,"GRCA",180109421,"BK/AL,O"
"DC","SINGTONMD1",2002-06-08,"SOSP",172148568,"G/AL,G"
"DC","SINGTONMD1",2002-06-08,"NOCA",800121463,"BU/R,AL"
"DC","PERRCHRMD1",2002-05-31,"NOCA",800121456,"AL/R,R"
"DC","MANNJANDC1",2002-05-30,"HOWR",225024332,"W/Y,AL"
"DC","MANNJANDC1",2002-05-30,"CARW",172148527,"W/AL,G"
"DC","CONAGAIMD1",2002-05-29,"CACH",225024607,"R,G/AL"
"DC","JONECBRMD1",2002-06-28,"CACH",225090464,"AL/R,BK"
"DC","LUCIDANMD1",2002-06-22,"NOCA",800121475,"R/AL,R"
"DC","KORRHARMD1",2002-06-21,"NOCA",800121474,"BK/R,AL"
"DC","RAUNERIMD1",2002-07-01,"NOCA",800121479,"W,AL/R"
"DC","EARLNANMD1",2002-06-05,"SOSP",172148583,"G,AL/Y"
"DC","MOLIKARMD1",2002-06-17,"NOCA",180109426,"Y/G,AL"
"DC","HUNTBRIMD1",2002-06-19,"CARW",172148592,"AL/P,G"
"DC","GIBSELAMD1",2002-06-20,"SOSP",228090103,"R/BK,AL"
"DC","BURKSANMD1",2002-06-27,"CARW",181158701,"AL/BK,BU"
"DC","LORAJORMD1",2002-07-06,"GRCA",800121481,"O/AL,G"
"DC","CANTBOBMD1",2002-07-10,"GRCA",800121355,"G/AL,R"
"DC","CANTBOBMD1",2002-07-10,"GRCA",800121357,"AL/BU,W"
"DC","STURCARMD1",2002-07-19,"GRCA",800121494,"AL,O/O"
"DC","STURCARMD1",2002-07-19,"GRCA",800121495,"O/AL,BU"
"DC","STURCARMD1",2002-07-19,"GRCA",800121496,"P,W/AL"
"DC","BRENSTEMD1",2002-07-06,"CARW",181158601,"AL,BK/Y"
"DC","BRENSTEMD1",2002-07-06,"GRCA",180109513,"O,R/AL"
"DC","BRENSTEMD1",2002-07-06,"NOCA",180109516,"G/Y,AL"
"DC","MCCOCHRMD1",2002-06-07,"NOMO",180109415,"AL,Y/BU"
"DC","TATEJUAMD1",2002-07-18,"NOCA",180109454,"BK,AL/Y"
"DC","TATEJUAMD1",2002-07-18,"NOCA",180109455,"G/AL,BU"
"DC","TATEJUAMD1",2002-07-18,"CACH",225024632,"AL/R,Y"
"DC","KRAMPAUMD1",2002-07-25,"NOCA",180109466,"AL,Y/R"
"DC","FREYFREMD1",2002-02-28,"CARW",181158751,"P,AL/BK"
"DC","FREYFREMD1",2002-08-07,"GRCA",180109490,"Y,P/AL"
"DC","MCKEJANMD1",2002-08-02,"NOCA",180109481,"W,BK/AL"
"DC","BROWANNDC1",2002-04-09,"SOSP",172148519,"Y/AL,O"
"DC","MAHOJIMMD1",2002-08-16,"CACH",225024668,"AL/BK,BU"
"DC","MAHOJIMMD1",2002-08-16,"NOCA",180109614,"AL/R,BK"
"DC","MCLERICMD1",2002-08-27,"NOCA",180109651,"AL/W,R"
"DC","HUNTDAVMD2",2002-08-30,"NOCA",180109653,"P/BK,AL"
"DC","HUNTDAVMD2",2002-08-30,"NOCA",180109654,"AL/Y,BK"
"DC","HUNTBRIMD1",2002-08-21,"CACH",225024672,"AL,W/W"
"DC","HUNTBRIMD1",2002-08-21,"NOCA",180109636,"BU,BK/AL"
"DC","SPEYPAUMD1",2002-09-12,"NOCA",180109686,"O,W/AL"
"DC","MISBJANMD1",2002-09-13,"CACH",225024357,"O,AL/R"
"DC","MISBJANMD1",2002-09-13,"CACH",225024358,"AL,W/R"
"DC","MISBJANMD1",2002-09-13,"NOCA",180109687,"BU/O,AL"
"DC","TATEJUAMD1",2002-10-02,"NOCA",800121369,"AL,O/P"
"DC","TATEJUAMD1",2002-10-02,"NOCA",800121371,"R/G,AL"
"DC","TATEJUAMD1",2002-10-02,"NOCA",800121372,"R,AL/P"
"DC","TATEJUAMD1",2002-10-02,"CACH",225024686,"AL,BK/BK"
"DC","ODELVINMD1",2002-09-09,"GRCA",180109675,"AL/BU,O"
"DC","STURCARMD1",2002-09-20,"CACH",225024386,"BU/G,AL"
"DC","STURCARMD1",2002-09-20,"CACH",225024393,"BK/W,AL"
"DC","STURCARMD1",2002-09-20,"CACH",225024394,"O,AL/W"
"DC","STURCARMD1",2002-09-20,"NOCA",800121365,"BU,P/AL"
"DC","THOMSUEMD1",2002-09-16,"CACH",225024363,"G/AL,R"
"DC","THOMSUEMD1",2002-09-16,"CACH",225024364,"BU/AL,O"
"DC","THOMSUEMD1",2002-09-16,"NOCA",180109695,"R,BK/AL"
"DC","MAHOJIMMD1",2002-10-17,"CACH",225024697,"AL,G/R"
"DC","BROWANNDC1",2002-10-22,"NOMO",96247823,"AL,P/G"
"DC","FREYFREMD1",2002-10-29,"CACH",132000909,"BK/AL,W"
"DC","LLEISUEDC1",2001-05-29,"GRCA",79117070,"AL/W,P"
"DC","BERNCHRMD1",2001-06-19,"GRCA",800121305,"BU,AL/P"
"DC","BROWANNMD1",2001-06-26,"NOCA",175151904,"G,BK/AL"
"DC","PICKMARMD1",2001-06-15,"NOCA",800121418,"AL,BU/BK"
"DC","REIKROBMD1",2001-06-18,"NOCA",175151912,"W/AL,Y"
"DC","TATEJUAMD1",2001-05-16,"HOWR",225024030,"AL,BU/O"
"DC","JOHNTHEMD1",2001-06-06,"NOCA",79117090,"AL,BK/P"
"DC","STURCARMD1",2001-06-13,"CACH",225024061,"P/BK,AL"
"DC","BROWANNDC1",2002-04-17,"NOMO",115287528,"Y,O/AL"
"DC","REITBOBMD1",2002-05-01,"NOCA",800121330,"BU,Y/AL"
"DC","PICKMARMD1",2002-05-07,"NOCA",800121417,"G/AL,W"
"DC","FREYFREMD1",2002-05-11,"AMRO",115287424,"Y,AL/O"
"DC","FREYFREMD1",2002-05-11,"HOWR",225090426,"W,AL/W"
"DC","FREYFREMD1",2002-05-11,"CACH",225090428,"O/G,AL"
"DC","GALLTERMD1",2002-07-12,"CARW",181158711,"O,AL/Y"
"DC","FOLEMARMD1",2002-05-31,"NOCA",800121455,"AL,G/W"
"DC","FOLEMARMD1",2002-05-31,"SOSP",172148565,"G,G/AL"
"DC","MEGOPATMD1",2002-06-18,"SOSP",172148589,"AL,Y/P"
"DC","TINIKATMD1",2002-07-11,"HOWR",225090472,"G,AL/BK"
"DC","BARBJERMD1",2002-08-01,"NOCA",180109479,"O,P/AL"
"DC","HUNTDAVMD2",2002-08-30,"NOCA",180109655,"AL,P/BK"
"DC","PERRCHRMD1",2003-04-29,"NOCA",800121394,"AL/Y,G"
"DC","SINGTONMD1",2003-04-08,"AMRO",115287457,"BK/AL,W"
"DC","SINGTONMD1",2003-04-08,"SOSP",180177804,"BK/BK,AL"
"DC","LERNJEFMD1",2003-07-09,"GRCA",180177992,"R,O/AL"
"DC","SANFCARMD1",2003-05-12,"NOCA",180177805,"P/P,AL"
"DC","STURCARMD1",2003-05-08,"NOCA",180109563,"AL,P/G"
"DC","STURCARMD1",2003-05-08,"HOWR",225090370,"AL,R/R"
"DC","STURCARMD1",2003-05-08,"HOWR",225090371,"W/P,AL"
"DC","HAMMBARMD1",2003-05-15,"NOCA",115287585,"O,AL/P"
"DC","RCP_SMBDC1",2003-05-13,"NOMO",800121396,"BK/AL,R"
"DC","RCP_SMBDC1",2003-05-13,"SOSP",450187504,"AL,R/BK"
"DC","MANNJANDC1",2003-05-28,"GRCA",180177904,"AL/O,Y"
"DC","TUFTKATMD1",2003-05-29,"CACH",225024984,"G,G/AL"
"DC","MANNJANDC1",2003-05-30,"SOSP",190120501,"W,BU/AL"
"DC","MANNJANDC1",2003-05-30,"GRCA",180177906,"P/AL,W"
"DC","MEGOPATMD1",2003-06-02,"SOSP",450187414,"BK/AL,W"
"DC","MEGOPATMD1",2003-06-02,"SOSP",450187415,"AL,O/G"
"DC","WILLRAJMD1",2003-05-31,"SOSP",181158695,"BK/W,AL"
"DC","DORNROBMD1",2003-06-02,"HOWR",225024987,"O/P,AL"
"DC","OBRICHRMD1",2003-05-19,"AMRO",115287516,"BK/AL,G"
"DC","MARRPETMD1",2003-05-14,"HOWR",187035901,"AL,R/Y"
"DC","BROWANNDC1",2003-05-20,"SOSP",181158817,"W/AL,R"
