"region","long","lat"
"Atlanta",-84.388,33.749
"Raleigh",-78.838,35.78
"Pittsburgh",-79.996,40.441
"DC",-77.037,38.907
"Springfield",-72.59,42.101
"Gainesville",-82.324,29.651
