"hub","site","date","species","bandNumber","bandCombo","encounterType"
"Atlanta","PARKDIAGA1",2014-05-13,"CACH","2710-53730","R/G,A","band"
"Atlanta","HITJODGA1",2014-05-16,"BRTH","1272-42430","BU,R/A","band"
"Atlanta","HITJODGA1",2014-05-16,"GRCA","2641-63325","G/Y,A","band"
"Atlanta","HITJODGA1",2014-05-16,"NOMO","1272-42431","A,R/R","band"
"Atlanta","HITJODGA1",2014-05-16,"GRCA","2641-63326","G,A/P","band"
"Atlanta","HITJODGA1",2014-05-16,"NOCA","2641-63327","W,P/A","band"
"Atlanta","KRIVMAUGA1",2014-05-18,"NOCA","2641-63323","G/Y,A","resight-participant"
"Atlanta","MAYCINGA1",2014-05-19,"HOWR","2710-53731","A,R/R","band"
"Atlanta","MAYCINGA1",2014-05-19,"TUTI","2661-07936","G,Y/A","band"
"Atlanta","MAYCINGA1",2014-05-19,"GRCA","2641-63328","O/O,A","band"
"Atlanta","MAYCINGA1",2014-05-19,"CARW","2661-07937","Y/P,A","band"
"Atlanta","MAYCINGA1",2014-05-19,"TUTI","2661-07938","O,A/P","band"
"Atlanta","MAYCINGA1",2014-05-19,"NOCA","2641-63329","A,P/BU","band"
"Atlanta","MAYCINGA1",2014-05-19,"NOCA","2641-63330","A/Y,G","band"
"Atlanta","MAYCINGA1",2014-05-19,"CACH","2710-53732","P,A/G","band"
"Atlanta","MAYCINGA1",2014-05-19,"NOCA","2641-63331","R/G,A","band"
"Atlanta","MAYCINGA1",2014-05-19,"CARW","2661-07939","A/O,BU","band"
"Atlanta","MAYCINGA1",2014-05-19,"TUTI","2661-07740","G/G,A","band"
"Atlanta","MAYCINGA1",2014-05-19,"CACH","2710-53733","O,W/A","band"
"Atlanta","ANDREBGA1",2014-05-20,"BRTH","1272-42432","R,O/A","band"
"Atlanta","ANDREBGA1",2014-05-20,"AMRO","1272-42433","BU,W/A","band"
"Atlanta","ANDREBGA1",2014-05-20,"SOSP","2661-07941","A,R/R","band"
"Atlanta","ANDREBGA1",2014-05-20,"NOCA","2641-63332","A,W/O","band"
"Atlanta","CARTJOYGA1",2014-05-21,"TUTI","2661-07930","A,O/P","resight-participant"
"Atlanta","NEWCHRGA1",2014-05-21,"BRTH","1272-42434","BU,P/A","band"
"Atlanta","NEWCHRGA1",2014-05-21,"BRTH","1272-42435","W/A,P","band"
"Atlanta","NEWCHRGA1",2014-05-21,"SOSP","2661-07942","R/G,A","band"
